Model,Organization,Country (of organization),Year,Parameters,Training compute (FLOP),Training compute (PF-days),Estimated CO2e (kg),Training power draw (W),Domain,Frontier model
LSTM LM,RWTH Aachen University,Germany,2012,102720000.0,1.66e+16,0.00019212962962962963,6.801388888888889e-05,,Language,
AlexNet,University of Toronto,Canada,2012,60000000.0,4.7e+17,0.005439814814814815,0.0019256944444444443,,Vision,True
Unsupervised High-level Feature Learner,Google,United States of America,2012,1000000000.0,6e+17,0.006944444444444444,0.002458333333333333,,Vision,True
LBL,University College London (UCL),United Kingdom of Great Britain and Northern Ireland,2012,2000000.0,502000000000000.0,5.810185185185185e-06,2.0568055555555552e-06,,Language,
DNN EM segmentation,"IDSIA,SUPSI","Switzerland,Switzerland",2012,218896.0,4.78e+17,0.005532407407407408,0.001958472222222222,2116.2977934481,Vision,True
DistBelief Speech,Google,United States of America,2012,47185920.0,3.114e+17,0.0036041666666666665,0.0012758749999999999,,Speech,
MCDNN (MNIST),"IDSIA,SUPSI","Switzerland,Switzerland",2012,2653700.0,1.57e+16,0.00018171296296296297,6.432638888888889e-05,,Vision,
Dropout (MNIST),University of Toronto,Canada,2012,5594010.0,6039370800000000.0,6.9900125e-05,2.4744644249999996e-05,,Vision,
Word2Vec (large),Google,United States of America,2013,692000000.0,3.888e+16,0.00045,0.0001593,,Language,
TransE,"Universite de Technologie de Compiègne – CNRS,Google","France,United States of America",2013,942000000.0,1.340928e+18,0.01552,0.00549408,,Language,True
Mitosis,IDSIA,Switzerland,2013,37230.0,1.37e+17,0.001585648148148148,0.0005613194444444444,,"Vision,Medicine",
RNN+weight noise+dynamic eval,University of Toronto,Canada,2013,54000000.0,4210000000000000.0,4.8726851851851855e-05,1.7249305555555555e-05,,Language,
ReLU-Speech,"Google,University of Toronto,New York University (NYU)","United States of America,Canada,United States of America",2013,101706240.0,1.2773376e+17,0.0014784,0.0005233535999999999,,Speech,
Hierarchical Scene Labeling (Stanford Background),New York University (NYU),United States of America,2013,51609600.0,2.3774688e+17,0.0027517,0.0009741018,,Vision,
Image generation,University of Amsterdam,Netherlands,2013,784000.0,475200000000000.0,5.5e-06,1.9469999999999997e-06,,Vision,
DQN,DeepMind,United Kingdom of Great Britain and Northern Ireland,2013,836096.0,2846883840000000.0,3.2950044444444444e-05,1.1664315733333332e-05,,Games,
VGG19,University of Oxford,United Kingdom of Great Britain and Northern Ireland,2014,144000000.0,1.1e+19,0.12731481481481483,0.04506944444444445,,Vision,True
SNM-skip,Google,United States of America,2014,62000000000.0,2.97600000001e+20,3.4444444444560185,1.2193333333374305,,Language,True
TA-CNN,Chinese University of Hong Kong (CUHK),Hong Kong,2014,706048.0,1.0854e+16,0.000125625,4.447125e-05,,Vision,
GoogLeNet / InceptionV1,"Google,University of Michigan,University of North Carolina","United States of America,United States of America,United States of America",2014,6797700.0,1.51e+18,0.01747685185185185,0.006186805555555555,,Vision,
